Data;Nr. Operações;Volume;Média;Fator Diário;Mínima;Máxima;Moda;Dsv Pdr;Taxa SELIC
01/06/2018;8;3.013.455;6,39;1,00024583;-;-;-;-;6,40
04/06/2018;9;3.257.074;6,39;1,00024583;-;-;-;-;6,40
05/06/2018;8;3.468.231;6,39;1,00024583;-;-;-;-;6,40
06/06/2018;8;3.395.464;6,39;1,00024583;-;-;-;-;6,40
07/06/2018;8;3.349.963;6,39;1,00024583;-;-;-;-;6,40
08/06/2018;7;3.252.883;6,39;1,00024583;-;-;-;-;6,40
11/06/2018;8;3.321.289;6,39;1,00024583;-;-;-;-;6,40
12/06/2018;8;3.301.871;6,39;1,00024583;-;-;-;-;6,40
13/06/2018;9;3.253.190;6,39;1,00024583;-;-;-;-;6,40
14/06/2018;8;3.254.816;6,39;1,00024583;-;-;-;-;6,40
15/06/2018;8;3.237.642;6,39;1,00024583;-;-;-;-;6,40
18/06/2018;8;3.204.100;6,39;1,00024583;-;-;-;-;6,40
19/06/2018;8;3.217.431;6,39;1,00024583;-;-;-;-;6,40
20/06/2018;8;3.189.022;6,39;1,00024583;-;-;-;-;6,40
21/06/2018;7;3.183.678;6,39;1,00024583;-;-;-;-;6,40
22/06/2018;9;3.179.471;6,39;1,00024583;-;-;-;-;6,40
25/06/2018;9;3.191.190;6,39;1,00024583;-;-;-;-;6,40
26/06/2018;8;3.193.752;6,39;1,00024583;-;-;-;-;6,40
27/06/2018;8;3.128.797;6,39;1,00024583;-;-;-;-;6,40
28/06/2018;8;3.110.248;6,39;1,00024583;-;-;-;-;6,40
29/06/2018;7;3.095.448;6,39;1,00024583;-;-;-;-;6,40
02/07/2018;8;3.116.441;6,39;1,00024583;-;-;-;-;6,40
03/07/2018;10;3.335.864;6,39;1,00024583;6,00;6,39;6,20;0,03;6,40
04/07/2018;8;3.684.794;6,39;1,00024583;-;-;-;-;6,40
05/07/2018;8;3.663.812;6,39;1,00024583;-;-;-;-;6,40
06/07/2018;8;3.643.587;6,39;1,00024583;-;-;-;-;6,40
09/07/2018;8;3.526.259;6,39;1,00024583;-;-;-;-;6,40
10/07/2018;9;3.618.403;6,39;1,00024583;-;-;-;-;6,40
11/07/2018;9;3.573.509;6,39;1,00024583;-;-;-;-;6,40
12/07/2018;8;3.540.193;6,39;1,00024583;-;-;-;-;6,40
13/07/2018;9;3.499.556;6,39;1,00024583;-;-;-;-;6,40
16/07/2018;8;3.402.294;6,39;1,00024583;-;-;-;-;6,40
17/07/2018;9;3.404.811;6,39;1,00024583;-;-;-;-;6,40
18/07/2018;8;3.389.049;6,39;1,00024583;-;-;-;-;6,40
19/07/2018;8;3.389.534;6,39;1,00024583;-;-;-;-;6,40
20/07/2018;8;3.375.041;6,39;1,00024583;-;-;-;-;6,40
23/07/2018;9;3.386.373;6,39;1,00024583;-;-;-;-;6,40
24/07/2018;8;3.393.307;6,39;1,00024583;-;-;-;-;6,40
25/07/2018;9;3.381.882;6,39;1,00024583;-;-;-;-;6,40
26/07/2018;8;3.269.767;6,39;1,00024583;-;-;-;-;6,40
27/07/2018;8;3.227.710;6,39;1,00024583;-;-;-;-;6,40
30/07/2018;8;3.235.411;6,39;1,00024583;-;-;-;-;6,40
31/07/2018;6;3.213.652;6,39;1,00024583;-;-;-;-;6,40
01/08/2018;7;3.200.208;6,39;1,00024583;-;-;-;-;6,40
02/08/2018;7;3.431.729;6,39;1,00024583;-;-;-;-;6,40
03/08/2018;7;3.627.501;6,39;1,00024583;-;-;-;-;6,40
06/08/2018;7;3.631.516;6,39;1,00024583;-;-;-;-;6,40
07/08/2018;8;3.614.005;6,39;1,00024583;-;-;-;-;6,40
08/08/2018;8;3.599.263;6,39;1,00024583;-;-;-;-;6,40
09/08/2018;7;3.557.639;6,39;1,00024583;-;-;-;-;6,40
10/08/2018;7;3.535.552;6,39;1,00024583;-;-;-;-;6,40
13/08/2018;7;3.502.531;6,39;1,00024583;-;-;-;-;6,40
14/08/2018;5;3.448.160;6,39;1,00024583;-;-;-;-;6,40
15/08/2018;5;3.636.113;6,39;1,00024583;-;-;-;-;6,40
16/08/2018;7;3.656.512;6,39;1,00024583;-;-;-;-;6,40
17/08/2018;7;3.663.356;6,39;1,00024583;-;-;-;-;6,40
20/08/2018;7;3.643.185;6,39;1,00024583;-;-;-;-;6,40
21/08/2018;7;3.639.061;6,39;1,00024583;-;-;-;-;6,40
22/08/2018;7;3.629.987;6,39;1,00024583;-;-;-;-;6,40
23/08/2018;7;3.620.419;6,39;1,00024583;-;-;-;-;6,40
24/08/2018;7;3.609.415;6,39;1,00024583;-;-;-;-;6,40
27/08/2018;7;3.575.160;6,39;1,00024583;-;-;-;-;6,40
28/08/2018;7;3.575.249;6,39;1,00024583;-;-;-;-;6,40
29/08/2018;9;3.554.074;6,39;1,00024583;-;-;-;-;6,40
30/08/2018;7;3.546.632;6,39;1,00024583;-;-;-;-;6,40
31/08/2018;7;3.537.829;6,39;1,00024583;-;-;-;-;6,40
03/09/2018;8;3.538.456;6,39;1,00024583;-;-;-;-;6,40
04/09/2018;7;3.748.894;6,39;1,00024583;-;-;-;-;6,40
05/09/2018;8;3.929.498;6,39;1,00024583;-;-;-;-;6,40
06/09/2018;7;3.904.917;6,39;1,00024583;-;-;-;-;6,40
10/09/2018;6;3.879.441;6,39;1,00024583;-;-;-;-;6,40
11/09/2018;7;3.894.591;6,39;1,00024583;-;-;-;-;6,40
12/09/2018;9;3.832.914;6,39;1,00024583;-;-;-;-;6,40
13/09/2018;9;3.852.788;6,39;1,00024583;-;-;-;-;6,40
14/09/2018;9;3.824.814;6,39;1,00024583;-;-;-;-;6,40
17/09/2018;7;3.756.975;6,39;1,00024583;-;-;-;-;6,40
18/09/2018;7;3.746.647;6,39;1,00024583;-;-;-;-;6,40
19/09/2018;6;3.764.183;6,39;1,00024583;-;-;-;-;6,40
20/09/2018;5;3.698.307;6,39;1,00024583;-;-;-;-;6,40
21/09/2018;7;3.706.241;6,39;1,00024583;-;-;-;-;6,40
24/09/2018;8;3.706.744;6,39;1,00024583;-;-;-;-;6,40
25/09/2018;7;3.708.485;6,39;1,00024583;-;-;-;-;6,40
26/09/2018;8;3.710.080;6,39;1,00024583;-;-;-;-;6,40
27/09/2018;7;3.642.879;6,39;1,00024583;-;-;-;-;6,40
28/09/2018;6;3.624.301;6,39;1,00024583;-;-;-;-;6,40
01/10/2018;7;3.633.830;6,40;1,00024620;-;-;-;-;6,40
02/10/2018;6;3.869.375;6,40;1,00024620;-;-;-;-;6,40
03/10/2018;6;4.060.201;6,40;1,00024620;-;-;-;-;6,40
04/10/2018;6;4.049.513;6,40;1,00024620;-;-;-;-;6,40
05/10/2018;6;4.026.135;6,40;1,00024620;-;-;-;-;6,40
08/10/2018;6;4.023.815;6,40;1,00024620;-;-;-;-;6,40
09/10/2018;8;4.006.571;6,40;1,00024620;-;-;-;-;6,40
10/10/2018;7;3.960.725;6,40;1,00024620;-;-;-;-;6,40
11/10/2018;8;3.976.612;6,40;1,00024620;-;-;-;-;6,40
15/10/2018;7;3.882.685;6,40;1,00024620;-;-;-;-;6,40
16/10/2018;9;3.965.276;6,40;1,00024620;-;-;-;-;6,40
17/10/2018;9;3.993.776;6,40;1,00024620;-;-;-;-;6,40
18/10/2018;8;3.974.815;6,40;1,00024620;-;-;-;-;6,40
19/10/2018;9;3.978.294;6,40;1,00024620;-;-;-;-;6,40
22/10/2018;8;3.982.684;6,40;1,00024620;-;-;-;-;6,40
23/10/2018;7;3.979.321;6,40;1,00024620;-;-;-;-;6,40
24/10/2018;8;3.943.160;6,40;1,00024620;-;-;-;-;6,40
25/10/2018;8;3.927.915;6,40;1,00024620;-;-;-;-;6,40
26/10/2018;7;3.813.204;6,40;1,00024620;-;-;-;-;6,40
29/10/2018;7;3.778.538;6,40;1,00024620;-;-;-;-;6,40
30/10/2018;7;3.771.344;6,40;1,00024620;-;-;-;-;6,40
31/10/2018;6;3.731.173;6,40;1,00024620;-;-;-;-;6,40
