id;dfPerfil;knnPerfil;avg_Nota1;avg_Nota2
id0000025;Conservador;Moderado;52.95;40.86
id0000029;Conservador;Agressivo;61.49;51.42
id0000038;Conservador;Conservador;58.37;
id0000081;Conservador;Agressivo;30.14;53.67
id0000087;Conservador;Moderado;64.86;53.74
id0000114;Conservador;Conservador;75.03;
id0000124;Conservador;Moderado;40.27;35.35
id0000131;Conservador;Conservador;46.15;48.04
id0000191;Conservador;Conservador;35.97;
id0000231;Conservador;Conservador;64.04;
id0000232;Conservador;Agressivo;35.39;45.93
id0000235;Conservador;Moderado;47.71;
id0000253;Conservador;Conservador;51.82;61.57
id0000256;Conservador;Conservador;67.8;
id0000268;Conservador;Conservador;66.74;
id0000272;Conservador;Conservador;21.41;
id0000292;Conservador;Agressivo;69.82;45.61
id0000322;Conservador;Moderado;27.67;60.5
id0000356;Conservador;Conservador;44.38;
id0000393;Conservador;Moderado;40.23;
id0000404;Conservador;Conservador;63.12;
id0000411;Conservador;Conservador;68.34;
id0000416;Conservador;Agressivo;42.12;
id0000426;Conservador;Conservador;47.82;69.5
id0000427;Conservador;Conservador;64.27;
id0000465;Conservador;Moderado;57.3;
id0000470;Conservador;Moderado;33.96;41.56
id0000497;Conservador;Conservador;32.61;
id0000513;Conservador;Conservador;56.42;
id0000537;Conservador;Agressivo;29.18;59.36
id0000601;Conservador;Conservador;64.23;
id0000603;Conservador;Conservador;56.74;
id0000618;Conservador;Conservador;59.51;
id0000630;Conservador;Moderado;55.69;
id0000639;Conservador;Agressivo;47.7;
id0000666;Conservador;Moderado;59.07;
id0000673;Conservador;Moderado;61.04;
id0000693;Conservador;Agressivo;44.37;55.37
id0000705;Conservador;Conservador;36.25;
id0000722;Conservador;Conservador;52.66;
id0000730;Conservador;Agressivo;23.12;
id0000735;Conservador;Moderado;44.09;31.93
id0000749;Conservador;Conservador;44.91;64.47
id0000782;Conservador;Conservador;44.37;
id0000783;Conservador;Agressivo;45.98;
id0000844;Conservador;Agressivo;48.74;51.71
id0000849;Conservador;Moderado;50.16;54.48
id0000852;Conservador;Conservador;39.58;84.72
id0000893;Conservador;Agressivo;44.9;
id0000922;Conservador;Conservador;20.17;
id0000936;Conservador;Moderado;55.14;38.81
id0000940;Conservador;Conservador;36.16;46.34
id0000961;Conservador;Moderado;66.6;
id0000985;Conservador;Conservador;30.55;
id0001013;Conservador;Conservador;51.57;
id0001057;Conservador;Moderado;44.91;41.45
id0001060;Conservador;Moderado;65.76;
id0001090;Conservador;Moderado;54.77;
id0001128;Conservador;Conservador;61.75;
id0001142;Conservador;Agressivo;45.43;
id0001174;Conservador;Moderado;56.66;
id0001240;Conservador;Moderado;81.16;
id0001256;Conservador;Conservador;62.49;
id0001279;Conservador;Moderado;29.39;48.87
id0001280;Conservador;Agressivo;36.37;
id0001283;Conservador;Conservador;67.81;27.72
id0001286;Conservador;Conservador;54.87;
id0001341;Conservador;Conservador;18.87;27.84
id0001420;Conservador;Conservador;58.47;50.94
id0001432;Conservador;Conservador;49.82;43.41
id0001461;Conservador;Agressivo;62.59;54.08
id0001487;Conservador;Conservador;60.78;
id0001505;Conservador;Moderado;43.09;45.69
id0001514;Conservador;Conservador;45.58;
id0001528;Conservador;Agressivo;31.82;53.27
id0001538;Conservador;Conservador;47.03;
id0001548;Conservador;Agressivo;75.94;
id0001568;Conservador;Moderado;76.87;27.32
id0001589;Conservador;Agressivo;35.26;38.46
id0001633;Conservador;Agressivo;47.98;57.17
id0001643;Conservador;Conservador;49.9;
id0001697;Conservador;Moderado;40.34;44.96
id0001708;Conservador;Conservador;54.05;69.6
id0001718;Conservador;Conservador;53.45;
id0001749;Conservador;Conservador;61.69;43.91
id0001773;Conservador;Conservador;62.87;
id0001793;Conservador;Conservador;60.37;
id0001811;Conservador;Conservador;80.18;
id0001814;Conservador;Conservador;79.76;
id0001830;Conservador;Agressivo;43.6;44.79
id0001831;Conservador;Conservador;40.87;
id0001834;Conservador;Conservador;54.62;
id0001843;Conservador;Conservador;52.18;
id0001857;Conservador;Agressivo;50.23;
id0001862;Conservador;Agressivo;38.96;
id0001942;Conservador;Agressivo;43.63;43.12
