id;dfPerfil;knnPerfil;avg_Nota1;avg_Nota2
id0000019;Moderado;Moderado;48.03;52.55
id0000022;Moderado;Conservador;38.91;
id0000054;Moderado;Moderado;42.52;
id0000060;Moderado;Agressivo;61.01;60.41
id0000065;Moderado;Conservador;43.43;
id0000074;Moderado;Conservador;60.39;
id0000079;Moderado;Conservador;64.64;55.37
id0000153;Moderado;Conservador;30.07;
id0000161;Moderado;Agressivo;55.07;25.14
id0000180;Moderado;Agressivo;34.62;
id0000204;Moderado;Conservador;45.78;19.94
id0000208;Moderado;Conservador;50.98;35.24
id0000218;Moderado;Agressivo;44.26;
id0000225;Moderado;Conservador;69.09;
id0000234;Moderado;Moderado;57.95;55.37
id0000264;Moderado;Agressivo;58.57;
id0000299;Moderado;Conservador;33.06;68.53
id0000348;Moderado;Conservador;60.09;62.38
id0000349;Moderado;Moderado;29.64;
id0000354;Moderado;Agressivo;53.81;45.07
id0000385;Moderado;Moderado;65.82;
id0000388;Moderado;Agressivo;47.73;76.32
id0000402;Moderado;Agressivo;38.66;
id0000419;Moderado;Moderado;50.53;
id0000435;Moderado;Moderado;54.63;52.6
id0000450;Moderado;Conservador;45.4;
id0000485;Moderado;Conservador;37.87;69.41
id0000536;Moderado;Moderado;38.66;63.14
id0000596;Moderado;Moderado;27.53;38.93
id0000605;Moderado;Moderado;86.79;
id0000608;Moderado;Moderado;50.48;46.83
id0000615;Moderado;Moderado;43.69;
id0000620;Moderado;Agressivo;56.72;50.74
id0000634;Moderado;Agressivo;77.4;
id0000655;Moderado;Moderado;68.33;
id0000660;Moderado;Moderado;60.74;
id0000676;Moderado;Conservador;41.79;
id0000764;Moderado;Conservador;44.85;48.82
id0000769;Moderado;Agressivo;47.08;
id0000805;Moderado;Moderado;54.37;
id0000911;Moderado;Moderado;20.88;40.82
id0000929;Moderado;Conservador;47.48;
id0001010;Moderado;Conservador;70.62;24.16
id0001016;Moderado;Conservador;48.41;27.02
id0001069;Moderado;Conservador;56.93;50.65
id0001078;Moderado;Conservador;57.5;30.49
id0001079;Moderado;Agressivo;46.94;39.35
id0001106;Moderado;Moderado;51.1;86.34
id0001127;Moderado;Conservador;53.13;59.05
id0001147;Moderado;Conservador;51.86;
id0001161;Moderado;Moderado;26.9;
id0001167;Moderado;Moderado;43.36;
id0001176;Moderado;Agressivo;61.45;
id0001197;Moderado;Moderado;54.07;42.24
id0001249;Moderado;Moderado;65.11;
id0001260;Moderado;Conservador;43.94;36.45
id0001261;Moderado;Moderado;50.11;
id0001299;Moderado;Moderado;39.83;
id0001407;Moderado;Agressivo;52.44;
id0001419;Moderado;Conservador;53.83;47.44
id0001445;Moderado;Moderado;30.44;33.97
id0001455;Moderado;Conservador;38.03;
id0001521;Moderado;Conservador;39.6;69.18
id0001527;Moderado;Moderado;63.39;
id0001537;Moderado;Moderado;50.63;
id0001541;Moderado;Agressivo;32.3;47.6
id0001543;Moderado;Agressivo;54.96;39.57
id0001547;Moderado;Conservador;56.76;52.54
id0001561;Moderado;Agressivo;32.47;
id0001680;Moderado;Moderado;55.05;
id0001686;Moderado;Conservador;36.91;
id0001691;Moderado;Agressivo;48.24;
id0001716;Moderado;Moderado;47.07;
id0001762;Moderado;Moderado;28.41;
id0001763;Moderado;Agressivo;48.54;42.89
id0001787;Moderado;Agressivo;43.84;53.3
id0001794;Moderado;Agressivo;57.09;62.51
id0001799;Moderado;Moderado;46.59;49.49
id0001848;Moderado;Conservador;83.29;
id0001850;Moderado;Moderado;74.91;
id0001890;Moderado;Moderado;67.59;
id0001894;Moderado;Moderado;61.49;
id0001918;Moderado;Conservador;42.3;51.2
id0001940;Moderado;Moderado;56.18;64.73
id0001952;Moderado;Conservador;57.51;66.63
id0002087;Moderado;Moderado;33.68;
id0002097;Moderado;Moderado;55.75;61.31
id0002108;Moderado;Moderado;49.72;
id0002138;Moderado;Agressivo;54.46;54.2
id0002223;Moderado;Moderado;56.0;
id0002255;Moderado;Conservador;40.06;47.01
id0002291;Moderado;Agressivo;52.55;39.71
id0002328;Moderado;Moderado;61.89;38.48
id0002346;Moderado;Conservador;36.52;
id0002348;Moderado;Agressivo;25.08;41.79
id0002353;Moderado;Agressivo;43.39;
id0002404;Moderado;Conservador;40.88;
id0002476;Moderado;Conservador;49.81;37.8
id0002491;Moderado;Agressivo;64.3;55.46
id0002494;Moderado;Moderado;45.46;32.22
id0002529;Moderado;Conservador;61.42;33.26
id0002558;Moderado;Agressivo;82.66;42.77
id0002570;Moderado;Agressivo;46.12;55.14
id0002585;Moderado;Moderado;43.32;
id0002620;Moderado;Agressivo;42.51;21.83
id0002696;Moderado;Moderado;75.73;
id0002733;Moderado;Agressivo;51.67;
id0002736;Moderado;Conservador;38.85;57.67
id0002737;Moderado;Conservador;40.83;
id0002767;Moderado;Agressivo;44.6;
id0002810;Moderado;Agressivo;31.02;
id0002835;Moderado;Moderado;50.51;
id0002840;Moderado;Agressivo;37.24;
id0002843;Moderado;Moderado;56.93;
id0002868;Moderado;Conservador;51.7;
id0002901;Moderado;Moderado;58.68;
id0002933;Moderado;Moderado;64.85;74.23
id0002953;Moderado;Moderado;14.98;30.3
id0002985;Moderado;Agressivo;35.88;61.05
id0002991;Moderado;Moderado;23.06;
id0003031;Moderado;Moderado;41.66;34.59
id0003043;Moderado;Moderado;66.34;
id0003060;Moderado;Conservador;48.01;
id0003080;Moderado;Moderado;33.47;
id0003102;Moderado;Agressivo;63.22;
id0003113;Moderado;Conservador;52.57;
id0003128;Moderado;Moderado;62.16;
id0003139;Moderado;Conservador;43.01;
id0003164;Moderado;Moderado;67.01;
id0003187;Moderado;Conservador;63.15;
id0003230;Moderado;Agressivo;49.0;
id0003232;Moderado;Agressivo;44.12;39.5
id0003261;Moderado;Moderado;58.29;
id0003287;Moderado;Moderado;59.36;36.3
id0003334;Moderado;Moderado;67.98;48.03
id0003372;Moderado;Conservador;66.28;
id0003373;Moderado;Agressivo;45.92;
id0003393;Moderado;Agressivo;57.97;
id0003433;Moderado;Conservador;53.38;31.41
id0003438;Moderado;Conservador;52.68;56.3
id0003441;Moderado;Agressivo;70.96;
id0003467;Moderado;Conservador;46.11;
id0003474;Moderado;Conservador;51.73;61.5
id0003512;Moderado;Conservador;47.57;
id0003534;Moderado;Conservador;66.21;34.7
id0003539;Moderado;Moderado;65.77;42.18
id0003541;Moderado;Agressivo;35.74;55.17
id0003557;Moderado;Moderado;50.14;
id0003562;Moderado;Conservador;56.28;69.53
id0003571;Moderado;Conservador;54.99;44.94
id0003583;Moderado;Conservador;61.66;78.42
id0003604;Moderado;Conservador;59.59;
id0003674;Moderado;Conservador;65.45;
id0003695;Moderado;Moderado;65.1;
id0003709;Moderado;Conservador;57.73;
id0003717;Moderado;Moderado;59.34;
id0003736;Moderado;Moderado;32.84;47.9
id0003757;Moderado;Agressivo;56.98;36.35
id0003759;Moderado;Moderado;41.19;75.78
id0003775;Moderado;Moderado;67.01;34.93
id0003788;Moderado;Conservador;54.04;
id0003818;Moderado;Agressivo;49.43;
id0003819;Moderado;Conservador;55.13;50.86
id0003847;Moderado;Moderado;40.22;
id0003856;Moderado;Conservador;32.73;34.07
id0003860;Moderado;Agressivo;46.55;48.17
id0003864;Moderado;Moderado;61.54;
id0003870;Moderado;Agressivo;22.92;
id0003907;Moderado;Agressivo;40.84;
id0003921;Moderado;Agressivo;39.28;54.42
id0003926;Moderado;Conservador;41.87;
id0003928;Moderado;Moderado;30.61;54.1
id0003933;Moderado;Agressivo;50.65;
id0004014;Moderado;Conservador;53.25;
id0004022;Moderado;Agressivo;67.22;
id0004055;Moderado;Agressivo;46.42;
id0004062;Moderado;Agressivo;40.49;
id0004113;Moderado;Moderado;51.74;54.8
id0004154;Moderado;Moderado;47.03;52.45
id0004158;Moderado;Agressivo;53.56;47.42
id0004171;Moderado;Moderado;64.7;
id0004187;Moderado;Moderado;36.55;52.79
id0004200;Moderado;Moderado;41.84;
id0004267;Moderado;Moderado;63.34;
id0004272;Moderado;Moderado;52.96;
id0004333;Moderado;Moderado;40.72;
id0004357;Moderado;Agressivo;49.2;70.35
id0004384;Moderado;Moderado;59.78;55.6
id0004403;Moderado;Moderado;87.36;42.76
id0004458;Moderado;Moderado;44.6;22.42
id0004472;Moderado;Agressivo;56.19;
id0004481;Moderado;Agressivo;49.91;56.94
id0004513;Moderado;Agressivo;50.09;
id0004515;Moderado;Moderado;50.98;
id0004555;Moderado;Agressivo;52.33;48.03
id0004557;Moderado;Conservador;38.61;
id0004566;Moderado;Agressivo;46.67;52.27
id0004568;Moderado;Agressivo;44.18;
id0004576;Moderado;Agressivo;78.14;62.17
id0004616;Moderado;Agressivo;36.91;52.1
id0004631;Moderado;Agressivo;61.47;53.35
id0004643;Moderado;Agressivo;27.78;
id0004670;Moderado;Moderado;56.16;
id0004674;Moderado;Agressivo;46.1;62.39
id0004718;Moderado;Agressivo;47.49;51.97
id0004741;Moderado;Moderado;50.56;35.65
id0004759;Moderado;Moderado;58.85;72.13
id0004762;Moderado;Agressivo;61.85;26.2
id0004780;Moderado;Moderado;50.57;
id0004800;Moderado;Agressivo;44.17;49.74
id0004823;Moderado;Conservador;74.79;29.78
id0004859;Moderado;Conservador;29.62;75.21
id0004865;Moderado;Moderado;42.63;
id0004938;Moderado;Agressivo;59.11;
id0004954;Moderado;Conservador;22.66;
id0004958;Moderado;Conservador;33.41;38.23
id0004999;Moderado;Moderado;62.63;
id0005036;Moderado;Moderado;17.62;75.87
id0005037;Moderado;Moderado;30.91;69.09
id0005088;Moderado;Agressivo;67.18;54.88
id0005117;Moderado;Conservador;43.59;
id0005129;Moderado;Moderado;49.73;
id0005132;Moderado;Moderado;47.9;
id0005160;Moderado;Conservador;79.61;47.81
id0005214;Moderado;Moderado;48.66;39.59
id0005244;Moderado;Agressivo;34.37;
id0005250;Moderado;Conservador;45.02;
id0005274;Moderado;Agressivo;52.28;50.61
id0005279;Moderado;Moderado;72.47;73.77
id0005289;Moderado;Agressivo;44.45;57.94
id0005290;Moderado;Moderado;28.24;52.84
id0005296;Moderado;Moderado;35.58;73.24
id0005351;Moderado;Moderado;23.88;40.06
id0005374;Moderado;Agressivo;51.56;57.93
id0005471;Moderado;Moderado;76.01;
id0005547;Moderado;Conservador;46.29;18.1
id0005562;Moderado;Moderado;50.28;61.77
id0005575;Moderado;Conservador;51.26;57.1
id0005588;Moderado;Moderado;76.73;
id0005597;Moderado;Moderado;52.01;
id0005612;Moderado;Moderado;35.49;45.58
id0005710;Moderado;Agressivo;44.13;
id0005713;Moderado;Moderado;58.86;
id0005740;Moderado;Moderado;53.51;70.51
id0005755;Moderado;Agressivo;53.34;
id0005791;Moderado;Moderado;54.1;
id0005802;Moderado;Conservador;49.06;
id0005812;Moderado;Moderado;65.83;
id0005839;Moderado;Conservador;66.81;40.36
id0005896;Moderado;Moderado;54.41;34.67
id0005900;Moderado;Conservador;46.22;68.56
id0005903;Moderado;Moderado;48.39;
id0005913;Moderado;Moderado;44.45;57.05
id0005937;Moderado;Moderado;47.89;
id0005947;Moderado;Conservador;27.52;
id0005953;Moderado;Conservador;42.68;
id0005954;Moderado;Agressivo;58.03;67.74
id0005967;Moderado;Conservador;47.66;58.26
id0005996;Moderado;Moderado;51.98;
id0006003;Moderado;Conservador;65.25;
id0006042;Moderado;Agressivo;44.55;48.73
id0006066;Moderado;Moderado;41.28;
id0006076;Moderado;Agressivo;48.0;
id0006099;Moderado;Conservador;72.22;
id0006109;Moderado;Conservador;47.5;35.25
id0006187;Moderado;Agressivo;73.21;
id0006193;Moderado;Moderado;46.94;
id0006247;Moderado;Conservador;60.28;74.84
id0006263;Moderado;Agressivo;50.38;
id0006266;Moderado;Moderado;54.75;
id0006318;Moderado;Conservador;20.16;29.68
id0006321;Moderado;Moderado;46.46;61.59
id0006354;Moderado;Conservador;56.84;
id0006358;Moderado;Conservador;52.4;
id0006412;Moderado;Moderado;37.78;
id0006428;Moderado;Moderado;48.58;46.61
id0006435;Moderado;Moderado;59.96;
id0006449;Moderado;Moderado;33.38;
id0006464;Moderado;Moderado;36.84;
id0006473;Moderado;Moderado;38.45;49.7
id0006474;Moderado;Moderado;50.3;32.41
id0006478;Moderado;Moderado;51.78;
id0006536;Moderado;Moderado;30.19;
id0006538;Moderado;Moderado;49.48;
id0006596;Moderado;Conservador;39.35;
id0006605;Moderado;Moderado;68.92;
id0006642;Moderado;Conservador;57.37;
id0006692;Moderado;Moderado;49.8;
id0006715;Moderado;Moderado;34.73;
id0006746;Moderado;Agressivo;48.67;
id0006752;Moderado;Moderado;46.21;
id0006756;Moderado;Moderado;25.06;
id0006763;Moderado;Conservador;51.26;40.22
id0006773;Moderado;Moderado;56.74;
id0006811;Moderado;Moderado;53.23;
id0006859;Moderado;Agressivo;22.03;66.09
id0006860;Moderado;Conservador;42.77;37.37
id0006868;Moderado;Conservador;60.68;
id0006888;Moderado;Moderado;45.97;
id0006927;Moderado;Agressivo;43.02;51.8
id0006928;Moderado;Moderado;39.5;
id0006932;Moderado;Conservador;68.4;48.46
id0006964;Moderado;Agressivo;29.49;31.82
id0006990;Moderado;Moderado;34.1;
id0007013;Moderado;Agressivo;17.31;59.79
id0007063;Moderado;Moderado;44.29;26.61
id0007064;Moderado;Conservador;41.11;
id0007096;Moderado;Moderado;53.6;
id0007123;Moderado;Moderado;30.87;58.74
id0007202;Moderado;Agressivo;22.89;
id0007263;Moderado;Conservador;48.64;
id0007285;Moderado;Moderado;57.6;51.55
id0007356;Moderado;Agressivo;53.05;49.21
id0007380;Moderado;Agressivo;19.09;49.46
id0007397;Moderado;Conservador;60.46;
id0007398;Moderado;Moderado;48.96;
id0007416;Moderado;Conservador;40.91;
id0007471;Moderado;Conservador;42.09;
id0007533;Moderado;Agressivo;53.39;
id0007570;Moderado;Moderado;53.25;
id0007577;Moderado;Conservador;48.05;64.29
id0007578;Moderado;Conservador;44.4;62.09
id0007595;Moderado;Conservador;64.19;63.59
id0007603;Moderado;Conservador;51.1;
id0007607;Moderado;Moderado;57.28;
id0007609;Moderado;Agressivo;61.05;69.37
id0007643;Moderado;Agressivo;61.2;44.47
id0007658;Moderado;Conservador;62.32;37.74
id0007712;Moderado;Moderado;46.07;34.22
id0007720;Moderado;Moderado;45.71;
id0007727;Moderado;Moderado;45.12;
id0007778;Moderado;Moderado;40.2;
