"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"14/12/2021","107.387","106.760","-0,58","106.445","109.148","30,07B"
"13/12/2021","107.758","107.383","-0,35","107.383","109.493","31,66B"
"10/12/2021","106.296","107.758","1,38","106.296","108.275","26,29B"
"09/12/2021","108.095","106.291","-1,67","105.890","108.095","27,72B"
"08/12/2021","107.558","108.096","0,50","107.309","108.521","32,46B"
"07/12/2021","106.868","107.558","0,65","106.868","108.655","33,62B"
"06/12/2021","105.070","106.859","1,70","105.070","107.498","31,61B"
"03/12/2021","104.467","105.070","0,58","104.090","106.814","39,78B"
"02/12/2021","100.785","104.466","3,66","100.785","104.466","41,51B"
"01/12/2021","101.916","100.775","-1,12","100.727","104.087","39,48B"
"30/11/2021","102.814","101.915","-0,87","100.075","103.066","47,69B"
"29/11/2021","102.227","102.814","0,58","102.226","104.149","29,16B"
"26/11/2021","105.810","102.224","-3,39","101.495","105.810","31,58B"
"25/11/2021","104.514","105.811","1,24","104.514","106.400","27,37B"
"24/11/2021","103.652","104.514","0,83","102.464","105.041","31,04B"
"23/11/2021","102.124","103.654","1,50","101.736","103.841","35,51B"
"22/11/2021","103.036","102.122","-0,89","102.122","104.613","31,45B"
"19/11/2021","102.426","103.035","0,59","102.143","103.975","32,55B"
"18/11/2021","102.948","102.426","-0,51","102.014","103.757","34,14B"
"17/11/2021","104.405","102.948","-1,39","102.551","105.535","49,68B"
"16/11/2021","106.336","104.404","-1,82","104.113","106.971","33,50B"
"12/11/2021","107.576","106.335","-1,17","105.842","107.915","37,28B"
"11/11/2021","105.988","107.595","1,54","105.988","108.669","37,71B"
"10/11/2021","105.535","105.968","0,41","105.140","107.407","36,03B"
"09/11/2021","104.783","105.535","0,72","104.783","106.674","31,47B"
"08/11/2021","104.824","104.781","-0,04","104.182","105.679","n/d"
"05/11/2021","103.412","104.824","1,37","103.412","105.555","35,83B"
"04/11/2021","105.617","103.412","-2,09","102.835","105.627","36,01B"
"03/11/2021","105.547","105.617","0,06","104.205","106.754","42,33B"
"01/11/2021","103.514","105.551","1,98","103.514","106.136","31,24B"
"29/10/2021","105.707","103.501","-2,09","103.430","105.954","38,74B"
"28/10/2021","106.369","105.705","-0,62","105.282","107.210","34,99B"
"27/10/2021","n/d","106.363","-0,05","106.045","108.224","32,50B"
"26/10/2021","108.713","106.420","-2,11","106.321","108.713","31,82B"
"25/10/2021","106.298","108.715","2,28","106.296","109.372","37,28B"
"22/10/2021","107.714","106.296","-1,34","102.854","107.749","60,01B"
"21/10/2021","110.767","107.735","-2,75","105.714","110.767","49,39B"
"20/10/2021","110.677","110.786","0,10","110.176","112.023","34,82B"
"19/10/2021","114.422","110.673","-3,28","109.947","114.422","41,61B"
"18/10/2021","114.647","114.428","-0,19","112.841","114.927","33,41B"
"15/10/2021","113.189","114.648","1,29","113.049","114.776","34,94B"
"14/10/2021","113.457","113.185","-0,24","112.708","113.881","32,21B"
"13/10/2021","112.180","113.456","1,14","111.807","114.159","68,62B"
"11/10/2021","112.834","112.180","-0,58","112.052","113.982","32,69B"
"08/10/2021","110.586","112.833","2,03","110.586","114.172","38,79B"
"07/10/2021","110.563","110.585","0,02","110.563","111.522","38,05B"
"06/10/2021","110.454","110.560","0,09","108.180","110.614","40,67B"
"05/10/2021","110.397","110.458","0,06","110.087","111.691","33,69B"
"04/10/2021","112.900","110.393","-2,22","109.979","112.900","37,60B"
"01/10/2021","110.980","112.900","1,73","110.980","113.020","34,25B"
