"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"16/12/2021","6,28","6,40","3,73","6,13","6,51","903,40M"
"15/12/2021","5,71","6,17","7,49","5,62","6,24","901,15M"
"14/12/2021","6,15","5,74","-5,12","5,73","6,20","841,70M"
"13/12/2021","6,38","6,05","-5,02","6,05","6,72","1,52B"
"10/12/2021","6,43","6,37","1,43","6,01","6,51","1,31B"
"09/12/2021","6,76","6,28","-7,78","6,21","6,76","1,65B"
"08/12/2021","7,56","6,81","-10,63","6,63","7,57","1,77B"
"07/12/2021","7,49","7,62","4,38","7,37","7,72","646,13M"
"06/12/2021","7,15","7,30","3,55","7,10","7,44","616,67M"
"03/12/2021","6,78","7,05","4,29","6,72","7,28","997,73M"
"02/12/2021","6,95","6,76","-1,74","6,45","7,19","1,18B"
"01/12/2021","8,05","6,88","-11,79","6,88","8,10","1,03B"
"30/11/2021","7,99","7,80","-2,99","7,60","8,11","731,63M"
"29/11/2021","8,19","8,04","-0,25","7,98","8,47","696,01M"
"26/11/2021","8,48","8,06","-7,36","8,03","8,57","522,78M"
"25/11/2021","8,84","8,70","-1,36","8,61","9,04","516,38M"
"24/11/2021","8,50","8,82","2,56","8,45","9,01","692,27M"
"23/11/2021","9,00","8,60","-2,71","8,47","9,05","737,01M"
"22/11/2021","9,40","8,84","-4,64","8,81","9,68","623,77M"
"19/11/2021","9,05","9,27","3,11","8,94","9,87","887,06M"
"18/11/2021","9,36","8,99","-3,02","8,99","9,60","708,63M"
"17/11/2021","9,91","9,27","-4,83","9,19","10,14","1,25B"
"16/11/2021","11,19","9,74","-12,65","9,74","11,40","1,46B"
"12/11/2021","12,65","11,15","-18,32","11,15","12,78","1,68B"
"11/11/2021","13,30","13,65","4,84","13,12","14,26","906,60M"
"10/11/2021","13,20","13,02","-0,84","12,82","13,54","799,11M"
"09/11/2021","12,05","13,13","10,06","12,05","13,80","885,52M"
"08/11/2021","12,31","11,93","-4,10","11,87","12,66","571,22M"
"05/11/2021","11,22","12,44","12,27","11,16","12,62","800,01M"
"04/11/2021","11,50","11,08","-4,07","10,93","11,82","383,67M"
"03/11/2021","11,19","11,55","2,21","10,99","11,67","537,95M"
"01/11/2021","n/d","11,30","4,53","10,86","11,43","319,70M"
"29/10/2021","11,24","10,81","-3,05","10,73","11,36","452,49M"
"28/10/2021","11,49","11,15","-3,88","11,07","11,76","477,46M"
"27/10/2021","12,07","11,60","-3,17","11,54","12,43","494,62M"
"26/10/2021","12,29","11,98","-2,92","11,73","12,35","442,72M"
"25/10/2021","12,49","12,34","-0,64","12,27","12,83","432,58M"
"22/10/2021","12,35","12,42","0,08","11,86","12,95","853,36M"
"21/10/2021","12,89","12,41","-6,34","12,28","13,20","825,80M"
"20/10/2021","13,84","13,25","-3,50","13,13","13,89","804,10M"
"19/10/2021","14,11","13,73","-3,85","13,59","14,28","497,73M"
"18/10/2021","14,39","14,28","-1,92","14,02","14,44","554,94M"
"15/10/2021","14,21","14,56","2,75","14,10","14,65","281,55M"
"14/10/2021","14,60","14,17","-2,28","14,10","14,63","368,83M"
"13/10/2021","14,42","14,50","0,83","14,29","14,65","431,59M"
"11/10/2021","15,04","14,38","-3,94","14,35","15,06","433,67M"
"08/10/2021","14,26","14,97","6,70","14,26","15,35","819,30M"
"07/10/2021","14,60","14,03","-2,97","14,00","14,84","561,84M"
"06/10/2021","13,49","14,46","5,70","13,15","14,60","1,01B"
"05/10/2021","13,80","13,68","-0,22","13,54","14,13","566,36M"
