"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"14/12/2021","29,61","29,12","-1,19","29,01","29,85","1,67B"
"13/12/2021","29,67","29,47","-0,61","29,29","30,05","1,11B"
"10/12/2021","29,50","29,65","1,23","29,48","30,10","1,14B"
"09/12/2021","29,10","29,29","-0,20","28,79","29,49","1,97B"
"08/12/2021","29,36","29,35","-0,03","29,22","30,07","2,10B"
"07/12/2021","29,28","29,36","1,63","28,80","29,57","2,89B"
"06/12/2021","28,78","28,89","0,45","28,68","29,27","1,92B"
"03/12/2021","28,48","28,76","1,41","28,22","28,94","3,01B"
"02/12/2021","26,99","28,36","7,35","26,20","28,49","5,29B"
"01/12/2021","26,63","26,42","0,58","26,31","27,37","3,63B"
"30/11/2021","26,15","26,27","-0,14","25,76","26,45","3,38B"
"29/11/2021","26,20","26,30","3,51","25,71","26,62","2,22B"
"26/11/2021","25,34","25,41","-3,88","25,05","26,03","2,77B"
"25/11/2021","25,93","26,44","4,41","25,49","26,59","2,72B"
"24/11/2021","24,79","25,32","2,05","24,55","25,38","1,61B"
"23/11/2021","23,75","24,81","5,46","23,65","25,04","2,66B"
"22/11/2021","23,47","23,53","1,00","23,46","24,21","1,41B"
"19/11/2021","23,29","23,29","-1,66","23,01","23,46","1,97B"
"18/11/2021","23,82","23,69","-0,15","23,25","23,88","1,51B"
"17/11/2021","24,45","23,72","-2,53","23,64","24,49","1,98B"
"16/11/2021","24,33","24,34","1,04","23,77","24,60","1,48B"
"12/11/2021","23,48","24,09","2,04","23,21","24,24","2,04B"
"11/11/2021","23,99","23,61","0,08","23,42","23,99","1,44B"
"10/11/2021","23,74","23,59","-0,79","23,35","24,04","1,62B"
"09/11/2021","23,38","23,78","1,99","23,38","24,05","1,74B"
"08/11/2021","23,04","23,31","1,04","22,96","23,79","1,40B"
"05/11/2021","23,46","23,07","-0,58","23,01","23,69","1,99B"
"04/11/2021","24,12","23,21","-3,17","23,07","24,31","2,15B"
"03/11/2021","24,73","23,96","-4,11","23,92","24,86","2,00B"
"01/11/2021","n/d","24,99","2,75","24,43","25,28","2,44B"
"29/10/2021","26,00","24,32","-5,91","24,07","26,05","3,88B"
"28/10/2021","25,46","25,85","0,94","25,21","26,11","2,25B"
"27/10/2021","25,73","25,61","-0,24","25,41","25,94","1,47B"
"26/10/2021","25,70","25,67","-0,96","25,53","26,09","1,49B"
"25/10/2021","24,78","25,92","6,84","24,68","26,16","3,45B"
"22/10/2021","24,19","24,26","-0,98","23,00","24,78","3,30B"
"21/10/2021","24,87","24,50","-3,38","24,03","25,15","2,47B"
"20/10/2021","25,23","25,36","1,43","24,95","25,70","1,40B"
"19/10/2021","26,10","25,00","-4,89","24,87","26,17","2,82B"
"18/10/2021","26,24","26,28","-0,51","25,87","26,45","1,80B"
"15/10/2021","26,60","26,42","-0,27","26,34","26,63","1,70B"
"14/10/2021","26,65","26,49","0,17","26,33","26,97","2,02B"
"13/10/2021","26,04","26,45","1,06","25,95","26,51","1,46B"
"11/10/2021","26,33","26,17","0,69","26,02","26,64","2,01B"
"08/10/2021","25,88","25,99","1,82","25,62","26,43","2,18B"
"07/10/2021","25,62","25,53","-0,14","25,21","25,87","1,54B"
"06/10/2021","25,84","25,56","-2,65","25,41","26,04","2,16B"
"05/10/2021","25,88","26,26","2,19","25,79","26,30","2,60B"
"04/10/2021","24,78","25,70","2,82","24,74","25,71","2,70B"
"01/10/2021","24,21","24,99","2,83","24,16","24,99","1,50B"
